"STATION","ID","ELEV(FEET)","LATITUDE","LONGITUDE","COUNTY","RIVER BASIN"
"FROG SPRINGS","FRG","4000","35.507999","-118.189003","KERN","KERN R"
"GALINDO CREEK AT TREAT BLVD","GTB","179","37.961533","-121.991913","CONTRA COSTA","EAST BAY"
"GARCIA RIVER NEAR POINT ARENA","GRC","80","38.903610","-123.607780","MENDOCINO","GARCIA RIVER"
"GASQUET RANGER STATION","GAS","384","41.845161","-123.965103","DEL NORTE","SMITH R"
"GAYLOR PIT","GYP","9200","37.881748","-119.312325","TUOLUMNE","TUOLUMNE R"
"GEM PASS","GEM","10750","37.779999","-119.169998","MONO","MONO LAKE"
"GEORGETOWN (USBR)","GTW","3250","38.924572","-120.789703","EL DORADO","AMERICAN R"
"GEORGIANA SLOUGH","GGS","2","38.237999","-121.516998","SACRAMENTO","DELTA"
"GEORGIANA SLOUGH AT MOKELUMNE R","GSM","18","38.129532","-121.582977","SACRAMENTO","MOKELUMNE R"
"GEORGIANA SLOUGH AT SACRAMENTO RIVER","GSS","10","38.237000","-121.517998","SACRAMENTO","SACRAMENTO R"
"GERBER","GBR","9999","42.205002","-121.129997","SISKIYOU","KLAMATH R"
"GERLE LAKE","GLL","5860","38.969166","-120.393059","EL DORADO","AMERICAN R"
"GIANELLI MEADOW","GNL","8400","38.204308","-119.893188","TUOLUMNE","STANISLAUS R"
"GIANT FOREST (USACE)","GNF","6650","36.562000","-118.764999","TULARE","KAWEAH R"
"GIBSON","GIB","1633","41.022221","-122.399170","SHASTA","SACRAMENTO R"
"GIN FLAT","GIN","7050","37.766888","-119.774910","MARIPOSA","MERCED R"
"GIRARD","GRD","4800","41.132999","-122.282997","SHASTA","SACRAMENTO R"
"GLEN HELEN REGIONAL PARK","GLH","2040","34.209000","-117.404999","SAN BERNARDINO","LYTLE CR"
"GLORIA GRADE","GGR","1960","36.532001","-121.277000","MONTEREY","SALINAS R"
"GOAT MOUNTAIN","GTM","4520","37.271400","-119.550171","MADERA","SAN JOAQUIN R"
"GODFATHER II ON SUISUN SLOUGH","GOD","0","38.123798","-122.081200","SOLANO","DELTA"
"GOLD LAKE","GOL","6750","39.674767","-120.617165","SIERRA","FEATHER R"
"GOODWIN DAM","GDW","359","37.862801","-120.629700","CALAVERAS","STANISLAUS R"
"GOODWIN TUNNEL OUTLET","GTO","600","37.849201","-120.682198","SAN JOAQUIN","SAN JOAQUIN R"
"GOODYEAR SLOUGH","GYS","0","38.118000","-122.095001","SOLANO","DELTA"
"GOODYEAR SLOUGH OUTFALL @ NAVAL FLEET","FLT","0","38.080379","-122.102051","SOLANO","DELTA"
"GOOSENEST","SVG","7300","41.727104","-122.217735","SISKIYOU","KLAMATH R"
"GORMAN","GOR","4000","34.796391","-118.857498","LOS ANGELES","SANTA CLARA R"
"GRANITE HILLS","GRH","533","32.799000","-116.917000","SAN DIEGO","SAN DIEGO R"
"GRANITE MOUNTAIN","GAM","4690","34.535999","-117.026001","SAN BERNARDINO","MOJAVE R"
"GRANITE PORTAL","GPO","4304","37.907654","-119.953056","TUOLUMNE","TUOLUMNE R"
"GRANT LINE CANAL EAST","GLE","6","37.820259","-121.434853","SAN JOAQUIN","SAN JOAQUIN R"
"GRANTLINE CANAL (USGS)","GLC","10","37.819599","-121.548500","SAN JOAQUIN","SAN JOAQUIN R"
"GRANTLINE CANAL AT TRACY RD BRIDGE","GCT","25","37.820145","-121.449860","SAN JOAQUIN","SAN JOAQUIN R"
"GRASS MTN","GMT","4626","34.640835","-118.414169","LOS ANGELES","U SANTA CLARA R"
"GRASS VALLEY","GVY","2400","39.205276","-121.068336","NEVADA","YUBA R"
"GRASS VALLEY CK NR LEWISTON","GVC","1680","40.686535","-122.861137","TRINITY","TRINITY R"
"GRASS VALLEY CREEK","GVO","2715","40.625000","-122.760002","TRINITY","TRINITY R"
"GRASSHOPPER","GRS","6050","40.781666","-120.784447","LASSEN","SUSAN R"
"GRAVEYARD MEADOW","GRV","6900","37.463440","-119.292892","MADERA","SAN JOAQUIN R"
"GRAYSON CREEK AT CENTER AVE","GCA","14","37.983330","-122.068535","CONTRA COSTA","EAST BAY"
"GRAYSON CREEK AT CITY YARD","GCC","23","37.962959","-122.066391","CONTRA COSTA","EAST BAY"
"GREEK STORE","GKS","5600","39.074680","-120.561600","PLACER","AMERICAN R"
"GREEN MOUNTAIN","GRM","7900","37.549599","-119.232559","MADERA","SAN JOAQUIN R"
"GREEN SPRINGS","GRN","1020","37.833000","-120.500000","TUOLUMNE","TUOLUMNE R"
"GREEN VALLEY CK AT MARTINELLI RD","GMR","74","38.478600","-122.908203","SONOMA","RUSSIAN R"
"GREEN VALLEY CREEK AT DIABLO ROAD","GVD","370","37.826866","-121.986732","CONTRA COSTA","EAST BAY"
"GREENVILLE","GRE","3560","40.139400","-120.941200","PLUMAS","FEATHER R"
"GREGORY HILL","GGH","188","38.268051","-122.069450","SOLANO","DELTA"
"GREYHORSE 2 NODE 1","G01","6200","39.128929","-120.349319","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 10","G10","6200","39.128704","-120.350517","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 2","G02","6200","39.129501","-120.348717","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 3","G03","6200","39.130142","-120.349487","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 4","G04","6200","39.131351","-120.349861","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 5","G05","6200","39.131168","-120.350632","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 6","G06","6200","39.130230","-120.350937","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 7","G07","6200","39.130711","-120.351601","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 8","G08","6200","39.129417","-120.350204","PLACER","AMERICAN R"
"GREYHORSE 2 NODE 9","G09","6200","39.129635","-120.351524","PLACER","AMERICAN R"
"GREYHORSE NODE 1","GH1","6200","39.122311","-120.361374","PLACER","AMERICAN R"
"GREYHORSE NODE 2","GH2","6200","39.122311","-120.361572","PLACER","AMERICAN R"
"GREYHORSE NODE 3","GH3","6200","39.122829","-120.361237","PLACER","AMERICAN R"
"GREYHORSE NODE 4","GH4","6200","39.123417","-120.360832","PLACER","AMERICAN R"
"GREYHORSE NODE 5","GH5","6200","39.124214","-120.361076","PLACER","AMERICAN R"
"GREYHORSE NODE 6","GH6","6200","39.124088","-120.362457","PLACER","AMERICAN R"
"GREYHORSE NODE 7","GH7","6200","39.123558","-120.362762","PLACER","AMERICAN R"
"GREYHORSE NODE 8","GH8","6200","39.123001","-120.362465","PLACER","AMERICAN R"
"GREYHORSE NODE 9","GH9","6200","39.123501","-120.362000","PLACER","AMERICAN R"
"GRINDSTONE CK NR GRINDSTONE RANCHERIA","GRI","630","39.679111","-122.530540","GLENN","STONY CR"
"GRIZZLY BAY","GZL","0","38.124249","-122.038116","SOLANO","DELTA"
"GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY","GZM","0","38.141304","-122.060196","SOLANO","DELTA"
"GRIZZLY BAY BUOY","GZB","0","38.123146","-122.007584","SOLANO","DELTA"
"GRIZZLY CR BL DIVERSION DAM","F22","4320","39.891388","-121.293053","PLUMAS","FEATHER R"
"GRIZZLY RIDGE","GRZ","6900","39.917000","-120.644997","PLUMAS","FEATHER R"
"GUADALUPE R ABV HWY 101 AT SAN JOSE","GRJ","72","37.373829","-121.933014","SANTA CLARA","GUADALUPE R"
"GUADALUPE R-SAN JOSE AT ALMADEN EXPRESSW","GUD","150","37.280746","-121.880234","SANTA CLARA","GUADALUPE R"
"HAGANS MEADOW","HGM","8000","38.853001","-119.940002","EL DORADO","LAKE TAHOE"
"HAMILTON BRANCH","HAM","4560","40.272499","-121.091400","PLUMAS","FEATHER R"
"HAMILTON TEST SITE","HTS","145","39.750923","-121.997879","GLENN","SACRAMENTO R"
"HARKNESS FLAT","HRK","6200","40.417999","-121.275002","LASSEN","FEATHER R"
"HARVEY O BANKS PUMPING P (KA000331)","HBP","4","37.801945","-121.620277","CONTRA COSTA","DELTA"
"HARVEY O BANKS PUMPING PLANT","HRO","4","37.798000","-121.623001","CONTRA COSTA","DELTA"
"HASTINGS","HTG","1824","36.388000","-121.551003","MONTEREY","CARMEL R"
"HAT CK BLW HAT CK","HCB","3284","40.862522","-121.552307","SHASTA","HAT CR"
"HAT CK NR HAT CK","HCN","4274","40.689110","-121.422783","SHASTA","HAT CR"
"HAT CREEK #1 PH (PG&E)","HTC","3015","40.932999","-121.550003","LASSEN","PIT R"
"HAWKEYE","HKY","2000","38.727001","-122.839996","SONOMA","RUSSIAN R"
"HAWKINS PEAK","X08","8800","38.742500","-119.852379","ALPINE","CARSON R"
"HAYFORK","HYF","4000","40.500000","-123.333000","TRINITY","TRINITY R"
"HEAVENLY VALLEY","HVN","8800","38.929001","-119.917000","EL DORADO","LAKE TAHOE"
"HELL HOLE (PCWA)","HHL","4630","39.057999","-120.406998","PLACER","AMERICAN R"
"HELL HOLE (USFS)","HLH","4580","39.071701","-120.421700","PLACER","AMERICAN R"
"HELLS DELIGHT","HDH","2034","39.267715","-123.147308","MENDOCINO","RUSSIAN R"
"HELMS CK BLW COURTRIGHT","HCC","7836","37.076401","-118.967796","FRESNO","KINGS R"
"HENNESS RIDGE DRIVE","HRD","6122","37.645500","-119.703758","MARIPOSA","MERCED R"
"HENNINGER FLATS","HEN","2800","34.195000","-118.093399","LOS ANGELES","LOS ANGELES R"
"HENSLEY LAKE WEATHER","HIW","440","37.115002","-119.883301","MADERA","FRESNO R"
"HERNANDEZ","HDZ","3752","36.382999","-120.853996","SAN BENITO","SAN BENITO R"
"HETCH HETCHY MET STATION","HEM","3920","37.944935","-119.783150","TUOLUMNE","TUOLUMNE R"
"HETCH HETCHY RES AT HETCH HETCHY (USGS)","HHY","3813","37.948002","-119.787003","TUOLUMNE","TUOLUMNE R"
"HIDDEN DAM (HENSLEY)","HID","561","37.200001","-119.917000","MADERA","FRESNO R"
"HIGH GLADE","HYG","4840","39.203999","-122.805000","LAKE","CACHE CR"
"HIGH VALLEY ROAD","HVR","2460","39.064999","-122.711098","LAKE","CACHE CR"
"HIGHLAND LAKES","HIG","6030","41.091782","-122.491562","TRINITY","TRINITY R"
"HIGHLAND MEADOW","HHM","8700","38.490662","-119.805626","ALPINE","MOKELUMNE R"
"HIGHLAND PEAK","HLD","2520","37.814499","-121.808403","CONTRA COSTA","DELTA"
"HILL SLOUGH","HSL","0","38.222198","-122.024002","SOLANO","DELTA"
"HILLCREST","HLC","3440","40.867001","-121.883003","SHASTA","PIT R"
"HINEBAUGH CREEK AT LABATH AVE","HBL","20","38.350479","-122.721313","SONOMA","RUSSIAN R"
"HIRZ","HRZ","3200","40.900002","-122.250000","SHASTA","SACRAMENTO R"
"HOADLEY","HDL","4580","40.682999","-122.750000","SHASTA","TRINITY R"
"HOCKETT MEADOW (USACE)","HCK","8500","36.370998","-118.651001","TULARE","KAWEAH R"
"HOLLAND CUT NEAR BETHEL ISLAND","HOL","0","38.016399","-121.581902","SAN JOAQUIN","SAN JOAQUIN R"
"HOLLAND TRACT","HLL","0","38.006985","-121.580620","CONTRA COSTA","DELTA"
"HONEYDEW","HNY","370","40.237499","-124.132217","HUMBOLDT","MATTOLE R"
"HONKER BAY","HON","0","38.072399","-121.939201","SOLANO","DELTA"
"HORSE MEADOW","HRS","8400","38.158001","-119.662003","TUOLUMNE","TUOLUMNE R"
"HORSE MEADOW (NRCS)","HOR","8557","38.836498","-119.887299","ALPINE","CARSON R"
"HOSSACK","HSS","7100","36.181000","-118.619003","TULARE","TULE R"
"HUMBUG","HMB","6500","40.115002","-121.367996","PLUMAS","FEATHER R"
"HUNGRY VALLEY FIRE STATION 77","HVF","3459","34.759445","-118.796944","LOS ANGELES","MOJAVE DESERT"
"HUNTER CUT AT MONTEZUMA SLOUGH","HUN","0","38.155998","-122.052696","SOLANO","DELTA"
"HUNTINGTON LAKE (USBR)","HNT","7000","37.227570","-119.220482","FRESNO","SAN JOAQUIN R"
"HUYSINK","HYS","6600","39.281422","-120.529633","PLACER","AMERICAN R"
"IBIS","IBS","0","38.157001","-122.112999","SOLANO","DELTA"
"ICE HOUSE (SMUD)","ICH","5454","38.824001","-120.359001","EL DORADO","AMERICAN R"
"IDRIA","IDR","2400","36.416100","-120.671387","FRESNO","SAN BENITO R"
"INDEPENDENCE CAMP","IDC","7000","39.452587","-120.298546","SIERRA","TRUCKEE R"
"INDEPENDENCE CREEK","INN","6500","39.493999","-120.292999","SIERRA","TRUCKEE R"
"INDEPENDENCE CREEK NEAR TRUCKEE","INC","6920","39.456573","-120.287148","SIERRA","TRUCKEE R"
"INDEPENDENCE LAKE (SCS)","IDP","8450","39.435001","-120.321999","NEVADA","TRUCKEE R"
"INDEPENDENCE LAKE NEAR TRUCKEE","INP","6921","39.452000","-120.290001","SIERRA","TRUCKEE R"
"INDIAN CK NR DOUGLAS CITY","ICD","1670","40.651901","-122.913300","TRINITY","TRINITY R"
"INDIAN CREEK","ICK","2790","35.282001","-118.411003","KERN","CALIENTE CR"
"INDIAN CREEK BELOW INDIAN FALLS","ICR","3100","40.056000","-120.961998","PLUMAS","FEATHER R"
"INDIAN CREEK NEAR HAPPY CAMP","IHC","1198","41.835125","-123.383110","SISKIYOU","KLAMATH R"
"INDIAN VLY DAM PRECIP AT CLEARLAKE OAKS","IVD","1490","39.080555","-122.535278","LAKE","CACHE CR"
"INDIAN WELLS CANYON","IWC","4000","35.685001","-117.889397","KERN","MOJAVE DESERT"
"INGRAM CREEK","ING","25","37.600201","-121.225098","STANISLAUS","SAN JOAQUIN R"
"IRONHOUSE SANITARY DISTRICT","ISD","6","38.001301","-121.709396","CONTRA COSTA","SAN JOAQUIN R"
"ISABELLA DAM","ISB","2635","35.646000","-118.473000","KERN","KERN R"
"ISABELLA WEATHER","IWS","2660","35.645802","-118.476402","KERN","KERN R"
"ITALIAN SLOUGH HEADWATER NR BYRON","ISH","5","37.840122","-121.602959","CONTRA COSTA","SAN JOAQUIN R"
"J7 SAN JOAQUIN R AT KERCKHOFF 1 PH","SJK","803","37.102001","-119.539001","MADERA","SAN JOAQUIN R"
"JAMES BYPASS","JBP","170","36.653000","-120.180000","FRESNO","SAN JOAQUIN R"
"JARBO GAP","JAR","2700","39.736000","-121.488998","BUTTE","FEATHER R"
"JAWBONE","JWB","4300","35.294998","-118.225998","KERN","MOJAVE DESERT"
"JERSEY POINT","JER","0","38.052155","-121.688972","CONTRA COSTA","DELTA"
"JERSEYDALE","JSD","3900","37.542000","-119.839996","MARIPOSA","MERCED R"
"JOHNSON RANCH","JNR","2042","37.666698","-121.603996","ALAMEDA","EAST BAY"
"JONES TRACT","JTR","-19","37.922401","-121.518204","SAN JOAQUIN","DELTA"
"JORDAN PEAK","JDP","6812","40.035999","-120.288902","PLUMAS","FEATHER R"
"JT14 DOYLE SPRINGS DIVERSION","DSR","3940","36.188999","-118.665962","TULARE","TULE R"
"JULIAN","JUL","4240","33.076000","-116.591003","SAN DIEGO","SAN DIEGO R"
"JUNCTION","JNC","4468","38.853001","-120.453003","EL DORADO","AMERICAN R"
"JUNE MOUNTAIN WEATHER PLOT","JMW","9220","37.754410","-119.077812","MONO","MONO LAKE"
"JUNIPER CREEK","JUC","4700","41.327999","-120.467003","MODOC","PIT R"
"KAISER POINT","KSP","9200","37.298180","-119.103371","FRESNO","SAN JOAQUIN R"
"KAWEAH R BLW MCKAY POINT","KRM","454","36.387798","-119.048599","TULARE","KAWEAH R"
"KAWEAH R-TERMINUS DM","KWT","475","36.411999","-119.002998","TULARE","KAWEAH R"
"KAWEAH RIVER AT THREE RIVERS","TRR","833","36.443901","-118.904404","TULARE","KAWEAH R"
"KEARNY MESA","KEA","455","32.813000","-117.125000","SAN DIEGO","SAN DIEGO R"
"KEENWILD","KNW","4920","33.714001","-116.713997","RIVERSIDE","SAN JACINTO R"
"KELLOGG CREEK NEAR BYRON","KEL","183","37.255001","-121.695000","CONTRA COSTA","EAST BAY"
"KELLY RIDGE POWER HOUSE","KRG","255","39.531757","-121.491211","BUTTE","FEATHER R"
"KELLY RIDGE TUNNEL","KLY","886","39.511501","-121.461960","BUTTE","FEATHER R"
"KELSEY CK BLW KELSEYVILLE","KCK","1345","39.008400","-122.839218","LAKE","SACRAMENTO R"
"KELSEY CK NR HOBERGS","KCH","2300","38.853100","-122.758904","LAKE","PUTAH CR"
"KENO CANAL AT KLAMATH FALLS, OR","KKF","4400","42.221111","-121.793053","State of Oregon","KLAMATH R"
"KERN CANYON PH (PG&E)","KPH","570","35.432999","-118.782997","KERN","KERN R"
"KERN PH 3","KP3","2703","35.775902","-118.436058","KERN","KERN R"
"KERN POWER HOUSE INTAKE","FPI","3654","35.945801","-118.476860","KERN","KERN R"
"KERN POWER HOUSE INTAKE","KPI","3654","35.945801","-118.476860","KERN","KERN R"
"KERN R AT KERNVILLE","KKV","2635","35.754398","-118.422501","KERN","KERN R"
"KERN R BL KERN CYN PH DIV DAM KE-16","KRD","2100","35.460201","-118.780403","KERN","KERN R"
"KERN R-BLW ISABELLA","KRI","2435","35.639000","-118.484001","KERN","KERN R"
"KERN RIVER AT FIRST POINT","1ST","470","35.446667","-118.922501","KERN","KERN R"
"KERN RIVER CANAL AT ALT SECOND POINT","A2P","350","35.343613","-119.154724","KERN","KERN R"
"KERNVILLE (USFS)","KRN","2720","35.755001","-118.425003","KERN","KERN R"
"KESWICK RESERVOIR","KES","596","40.612103","-122.445702","SHASTA","SACRAMENTO R"
"KETTLE ROCK","KTL","7300","40.139999","-120.714996","PLUMAS","FEATHER R"
"KETTLEMAN HILLS","KTT","810","36.033001","-120.056999","KINGS","TULARE LAKE"
"KINGS R NR TRIMMER","KRT","942","36.874699","-119.140800","FRESNO","KINGS R"
"KINGS R-PINE FLAT DAM","KGF","970","36.831001","-119.334999","FRESNO","KINGS R"
"KINGS RIVER AT MEADOWBROOK","MBK","8150","37.081001","-118.862000","FRESNO","KINGS R"
"KINGS RIVER BELOW ARMY WEIR","AMW","230","36.386002","-119.787003","KINGS","KINGS R"
"KINGS RIVER BELOW CRESCENT WEIR","CSW","215","36.387001","-119.875999","KINGS","KINGS R"
"KLAMATH NWR","KMN","4531","41.952999","-121.582001","SISKIYOU","KLAMATH R"
"KLAMATH R NR KLAMATH (TURWAR CREEK)","TUR","6","41.515228","-123.999123","DEL NORTE","KLAMATH R"
"KLAMATH RIVER AT ORLEANS","OLS","430","41.303459","-123.534500","HUMBOLDT","KLAMATH R"
"KLAMATH RIVER BELOW IRON GATE DAM","KIG","2162","41.927917","-122.444191","SISKIYOU","KLAMATH R"
"KLAMATH RIVER NEAR KLAMATH","KNK","60","41.510956","-123.979515","DEL NORTE","KLAMATH R"
"KLAMATH RIVER NEAR SEIAD VALLEY","KSV","1320","41.853737","-123.232277","SISKIYOU","KLAMATH R"
"KNOCTI RAWS (MT. KONOCTI)","KTI","2163","38.911800","-122.706299","LAKE","CACHE CR"
"KNOXVILLE CREEK","KNO","2200","38.861900","-122.417198","LAKE","PUTAH CR"
"KREGOR PEAK","KGR","1894","37.943001","-121.889999","CONTRA COSTA","EAST BAY"
"LA GRANGE RELEASE","LGR","52","37.667000","-120.461998","STANISLAUS","TUOLUMNE R"
"LA HONDA","LAH","425","37.305302","-122.253899","SAN MATEO","SAN GREGORIO CR"
"LA MESA","LMS","530","32.765999","-117.024002","SAN DIEGO","SAN DIEGO R"
"LA PANZA","LPZ","1650","35.380600","-120.188103","SAN LUIS OBISPO","SALINAS R"
"LA PORTE (DWR)","LAP","4980","39.681000","-120.983002","PLUMAS","FEATHER R"
"LADDER BUTTE","LDB","5700","40.817001","-121.317001","LASSEN","PIT R"
"LAGUNA CR - FLORIN NEAR EAGLES NEST ROAD","EGN","100","38.485279","-121.260834","SACRAMENTO","SACRAMENTO R"
"LAGUNA CREEK DIVERSION","LGU","600","37.023804","-122.131447","SANTA CRUZ","SANTA CRUZ CO COAST"
"LAKE ALPINE RESERVOIR","LEA","7302","38.471390","-120.002777","ALPINE","STANISLAUS R"
"LAKE BERRYESSA (USBR)","ZOD","490","38.550934","-122.230316","NAPA","PUTAH CR"
"LAKE CURRY","LCU","391","38.357784","-122.125549","NAPA","DELTA"
"LAKE DAVIS (DWR)","DAV","5768","39.882999","-120.467003","PLUMAS","FEATHER R"
"LAKE DAVIS TAILRACE","LDT","5670","39.882999","-120.475998","PLUMAS","FEATHER R"
"LAKE ELEANOR","ENR","4660","37.973999","-119.879997","TUOLUMNE","TUOLUMNE R"
"LAKE ELEANOR DIV TUNNEL","EDT","4620","37.980000","-119.880997","TUOLUMNE","TUOLUMNE R"
"LAKE KAWEAH WEATHER","LKW","570","36.415882","-119.005684","TULARE","KAWEAH R"
"LAKE LOIS","LOS","8600","38.921036","-120.204445","EL DORADO","AMERICAN R"
"LAKE MC SWAIN","MCS","425","37.520000","-120.308998","MARIPOSA","MERCED R"
"LAKE MENDOCINO WEATHER","CDW","670","39.203098","-123.185303","MENDOCINO","RUSSIAN R"
"LAKE NATOMA  (NIMBUS DAM)","NAT","132","38.650002","-121.182999","SACRAMENTO","AMERICAN R"
"LAKE PALMDALE","LPA","2980","34.537201","-118.101402","LOS ANGELES","MOJAVE DESERT"
"LAKE PIRU","PRU","213","34.460999","-118.750999","VENTURA","PIRU CR"
"LAKE PIRU AT TEMESCAL","LPU","1103","34.474442","-118.761108","VENTURA","PIRU CR"
"LAKE SILVERWOOD","SLW","3331","34.304001","-117.318001","SAN BERNARDINO","MOJAVE R"
"LAKE SONOMA WEATHER","LSW","224","38.716099","-122.996696","SONOMA","RUSSIAN R"
"LAKE SPAULDING (PG&E)","LSP","5156","39.317001","-120.633003","NEVADA","YUBA R"
"LAKE TAHOE AT TAHOE CITY","THC","6230","39.181999","-120.119003","PLACER","TRUCKEE R"
"LAKESHORE","LKS","1100","40.867001","-122.383003","SHASTA","SACRAMENTO R"
"LAPACHET RANCH","LPC","260","38.032001","-120.975998","SAN JOAQUIN","CALAVERAS R"
"LAS CUMBRES","LCM","2760","37.208000","-122.063004","SANTA CRUZ","SAN LORENZO R"
"LAS TABLAS","LTB","900","35.656387","-120.924164","SAN LUIS OBISPO","SALINAS R"
"LAS TRAMPAS","LTR","1760","37.834000","-122.067001","CONTRA COSTA","EAST BAY"
"LASSEN LODGE","LAS","4120","40.349998","-121.699997","TEHAMA","SACRAMENTO R"
"LAURAL MOUNTAIN","LRM","4390","35.478298","-117.699203","KERN","CHINA LAKE"
"LAYTONVILLE","LAY","1838","39.702000","-123.485001","MENDOCINO","EEL R"
"LEAVITT LAKE","LVT","9600","38.282001","-119.621002","MONO","WALKER R"
"LEAVITT MEADOWS","LVM","7200","38.305000","-119.552002","MONO","WALKER R"
"LEMONCOVE DITCH","LMN","546","36.415298","-119.006104","TULARE","KAWEAH R"
"LEO CARRILLO STATE PARK","LCL","50","34.046001","-118.935997","LOS ANGELES","VENTURA LA COASTAL"
"LEWIS TANK","LWT","1094","37.098400","-122.059174","SANTA CRUZ","SAN LORENZO R"
"LEWISTON","LEW","1870","40.727001","-122.792999","TRINITY","TRINITY R"
"LEWISTON (WATER QUALITY)","LWS","1830","40.719311","-122.803635","TRINITY","TRINITY R"
"LEWISTON FISH HATCHERY","LFH","1870","40.727001","-122.792999","TRINITY","TRINITY R"
"LIBERTY ISLAND - RD2068","LIR","0","38.329281","-121.693970","SOLANO","SACRAMENTO R"
"LIBERTY ISLAND - YOLO BYPASS","LIY","0","38.329277","-121.693977","SOLANO","SACRAMENTO R"
"LIBERTY ISLAND @ APPROX CNTR S END","LIB","0","38.242100","-121.684898","SOLANO","SACRAMENTO R"
"LICHAU CREEK","LIC","600","38.317001","-122.633003","SONOMA","PETALUMA R"
"LIDDEL SPRING DIVERSION","LDD","760","37.023335","-122.150558","SANTA CRUZ","SANTA CRUZ CO COAST"
"LIDELL","LDL","577","37.024166","-122.150497","SANTA CRUZ","SANTA CRUZ CO COAST"
"LIME KILN CANYON","LKC","4790","35.090000","-118.447998","KERN","CALIENTE CR"
"LIMEKILN","LIM","916","36.512760","-121.540810","MONTEREY","SALINAS R"
"LINCOLN","LCN","200","38.882000","-121.272003","PLACER","AMERICAN R"
"LINDA CREEK AT CHAMPION OAKS","LCO","140","38.727001","-121.247002","PLACER","AMERICAN R"
"LINDA CREEK AT OAK RIDGE ROAD","LOR","150","38.730999","-121.265999","PLACER","AMERICAN R"
"LINDO CHANNEL NR CHICO","LCH","183","39.749161","-121.868896","BUTTE","SACRAMENTO R"
"LITTLE CHICO CK AT TAFFEE AVE","LTA","145","39.697048","-121.893478","BUTTE","SACRAMENTO R"
"LITTLE DRY CREEK (USBR)","LDC","350","36.934193","-119.729553","FRESNO","SAN JOAQUIN R"
"LITTLE GRASS VALLEY","LGV","5047","39.723999","-121.018997","PLUMAS","FEATHER R"
"LITTLE POTATO SLOUGH AT TERMINOUS","LPS","0","38.096401","-121.496101","SAN JOAQUIN","SAN JOAQUIN R"
"LITTLE RIVER NEAR TRINIDAD","LRT","18","41.009850","-124.081459","HUMBOLDT","EEL R"
"LITTLE SHASTA R NR MONTAGUE","LSR","2800","41.733093","-122.350357","SISKIYOU","SHASTA R"
"LITTLE SHASTA RIVER BELOW BIG SPRINGS RD","LSS","2605","41.706741","-122.438026","SISKIYOU","SHASTA R"
"LITTLE SPRINGS CREEK NEAR GRENADA","LTG","2592","41.593410","-122.431656","SISKIYOU","SHASTA R"
"LITTLE TRUCKEE R ABV BOCA RESERVOIR","LAB","5619","39.435741","-120.084366","NEVADA","TRUCKEE R"
"LITTLE TRUCKEE R BL BOCA RES","LTK","5500","39.386852","-120.095474","NEVADA","TRUCKEE R"
"LITTLE TUJUNGA","LTJ","1390","34.293999","-118.361000","LOS ANGELES","LOS ANGELES R"
"LITTLE WASHOE LAKE","LWO","5070","39.329746","-119.802071","WASHOE (NV)","TRUCKEE R"
"LITTLEJOHN CK AT FARMINGTON","LCF","113","37.926701","-121.001701","SAN JOAQUIN","SAN JOAQUIN R"
"LIVE OAK CANYON - LIVE OAK DAM","LVO","1510","34.133999","-117.744003","LOS ANGELES","LOS ANGELES R"
"LOBDELL LAKE","LBD","9200","38.439999","-119.376999","MONO","WALKER R"
"LOCKWOOD VALLEY ROAD","LOK","5150","34.733891","-119.100555","VENTURA","SANTA CLARA R"
"LOG SPRING","LGS","5100","39.833000","-122.782997","TEHAMA","SACTO VLY NE"
"LOOMIS OBSERVATORY","LMO","733","38.814999","-121.112999","PLACER","AMERICAN R"
"LOON LAKE (SMUD)","LON","6410","38.983002","-120.322998","EL DORADO","AMERICAN R"
"LOS BANOS (CDF)","LBN","350","37.053001","-121.049004","MERCED","SAN JOAQUIN R"
"LOS BANOS DAM","LBS","350","36.993999","-120.930000","MERCED","SAN JOAQUIN R"
"LOS COCHES CREEK","LCK","560","32.835999","-116.902000","SAN DIEGO","SAN DIEGO R"
"LOS GATOS","LSG","646","37.206799","-121.942802","SANTA CLARA","LOS GATOS CR (NEAR SAN JOSE)"
"LOS GATOS CREEK AT EL DORADO AVENUE","EDA","490","36.167000","-120.209000","FRESNO","LOS GATOS CR (NEAR COALINGA)"
"LOS GATOS CREEK NEAR COALINGA","LGC","1080","36.214676","-120.470711","FRESNO","LOS GATOS CR (NEAR COALINGA)"
"LOS LAURELES CANYON","LLC","788","34.543602","-119.864861","SANTA BARBARA","SANTA YNEZ R"
"LOS MEDANOS","LSM","130","37.997299","-121.856400","CONTRA COSTA","SF BAY"
"LOS OSOS","LSO","130","35.321999","-120.801003","SAN LUIS OBISPO","COAST-MORRO BAY"
"LOST CORNER MOUNTAIN","LCR","7500","39.016998","-120.214996","EL DORADO","AMERICAN R"
